======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 495      | Bucket B: 488      | 扫描次数 (A*B): 241,560     
  [Pairing] Bucket A: 504      | Bucket B: 488      | 扫描次数 (A*B): 245,952     
  [Pairing] Bucket A: 504      | Bucket B: 513      | 扫描次数 (A*B): 258,552     
  [Pairing] Bucket A: 475      | Bucket B: 513      | 扫描次数 (A*B): 243,675     
  [Pairing] Bucket A: 475      | Bucket B: 470      | 扫描次数 (A*B): 223,250     
  [Pairing] Bucket A: 458      | Bucket B: 470      | 扫描次数 (A*B): 215,260     
  [Pairing] Bucket A: 459      | Bucket B: 470      | 扫描次数 (A*B): 215,730     
  [Pairing] Bucket A: 459      | Bucket B: 462      | 扫描次数 (A*B): 212,058     
  [Pairing] Bucket A: 477      | Bucket B: 462      | 扫描次数 (A*B): 220,374     
  [Pairing] Bucket A: 477      | Bucket B: 486      | 扫描次数 (A*B): 231,822     
  [Pairing] Bucket A: 479      | Bucket B: 486      | 扫描次数 (A*B): 232,794     
  [Pairing] Bucket A: 479      | Bucket B: 455      | 扫描次数 (A*B): 217,945     
  [Pairing] Bucket A: 470      | Bucket B: 455      | 扫描次数 (A*B): 213,850     
  [Pairing] Bucket A: 470      | Bucket B: 487      | 扫描次数 (A*B): 228,890     
  [Pairing] Bucket A: 452      | Bucket B: 487      | 扫描次数 (A*B): 220,124     
  [Pairing] Bucket A: 510      | Bucket B: 487      | 扫描次数 (A*B): 248,370     
  [Pairing] Bucket A: 510      | Bucket B: 479      | 扫描次数 (A*B): 244,290     
  [Pairing] Bucket A: 504      | Bucket B: 479      | 扫描次数 (A*B): 241,416     
  [Pairing] Bucket A: 504      | Bucket B: 510      | 扫描次数 (A*B): 257,040     
  [Pairing] Bucket A: 508      | Bucket B: 510      | 扫描次数 (A*B): 259,080     
  [Pairing] Bucket A: 508      | Bucket B: 510      | 扫描次数 (A*B): 259,080     
  [Pairing] Bucket A: 490      | Bucket B: 510      | 扫描次数 (A*B): 249,900     
  [Pairing] Bucket A: 504      | Bucket B: 510      | 扫描次数 (A*B): 257,040     
  [Pairing] Bucket A: 504      | Bucket B: 480      | 扫描次数 (A*B): 241,920     
  [Pairing] Bucket A: 486      | Bucket B: 480      | 扫描次数 (A*B): 233,280     
  [Pairing] Bucket A: 486      | Bucket B: 509      | 扫描次数 (A*B): 247,374     
  [Pairing] Bucket A: 501      | Bucket B: 509      | 扫描次数 (A*B): 255,009     
  [Pairing] Bucket A: 501      | Bucket B: 519      | 扫描次数 (A*B): 260,019     
  [Pairing] Bucket A: 516      | Bucket B: 519      | 扫描次数 (A*B): 267,804     
  [Pairing] Bucket A: 516      | Bucket B: 465      | 扫描次数 (A*B): 239,940     
  [Pairing] Bucket A: 462      | Bucket B: 465      | 扫描次数 (A*B): 214,830     
  [Pairing] Bucket A: 500      | Bucket B: 465      | 扫描次数 (A*B): 232,500     
  [Pairing] Bucket A: 500      | Bucket B: 510      | 扫描次数 (A*B): 255,000     
  [Pairing] Bucket A: 505      | Bucket B: 510      | 扫描次数 (A*B): 257,550     
  [Pairing] Bucket A: 505      | Bucket B: 475      | 扫描次数 (A*B): 239,875     
  [Pairing] Bucket A: 505      | Bucket B: 475      | 扫描次数 (A*B): 239,875     
  [Pairing] Bucket A: 505      | Bucket B: 501      | 扫描次数 (A*B): 253,005     
  [Pairing] Bucket A: 536      | Bucket B: 501      | 扫描次数 (A*B): 268,536     
  [Pairing] Bucket A: 536      | Bucket B: 491      | 扫描次数 (A*B): 263,176     
  [Pairing] Bucket A: 478      | Bucket B: 491      | 扫描次数 (A*B): 234,698     
  [Pairing] Bucket A: 478      | Bucket B: 510      | 扫描次数 (A*B): 243,780     
  [Pairing] Bucket A: 490      | Bucket B: 510      | 扫描次数 (A*B): 249,900     
  [Pairing] Bucket A: 507      | Bucket B: 510      | 扫描次数 (A*B): 258,570     
  [Pairing] Bucket A: 507      | Bucket B: 489      | 扫描次数 (A*B): 247,923     
  [Pairing] Bucket A: 513      | Bucket B: 489      | 扫描次数 (A*B): 250,857     
  [Pairing] Bucket A: 513      | Bucket B: 487      | 扫描次数 (A*B): 249,831     
  [Pairing] Bucket A: 451      | Bucket B: 487      | 扫描次数 (A*B): 219,637     
  [Pairing] Bucket A: 451      | Bucket B: 459      | 扫描次数 (A*B): 207,009     
  [Pairing] Bucket A: 450      | Bucket B: 459      | 扫描次数 (A*B): 206,550     
  [Pairing] Bucket A: 477      | Bucket B: 459      | 扫描次数 (A*B): 218,943     
  [Pairing] Bucket A: 477      | Bucket B: 496      | 扫描次数 (A*B): 236,592     
  [Pairing] Bucket A: 495      | Bucket B: 496      | 扫描次数 (A*B): 245,520     
  [Pairing] Bucket A: 495      | Bucket B: 506      | 扫描次数 (A*B): 250,470     
  [Pairing] Bucket A: 498      | Bucket B: 506      | 扫描次数 (A*B): 251,988     
  [Pairing] Bucket A: 498      | Bucket B: 503      | 扫描次数 (A*B): 250,494     
  [Pairing] Bucket A: 515      | Bucket B: 503      | 扫描次数 (A*B): 259,045     
